Country Name,Country Code,GPD Per Capita
Jordan,JOR,4129.751671
Japan,JPN,38428.09732
Kazakhstan,KAZ,8837.457302
Kenya,KEN,1507.814864
Kyrgyz Republic,KGZ,1219.824048
Cambodia,KHM,1384.423187
Kiribati,KIR,1685.166939
St. Kitts and Nevis,KNA,17090.15234
"Korea, Rep.",KOR,29742.83886
Kuwait,KWT,29040.36371
Latin America & Caribbean (excluding high income),LAC,8313.226892
Lao PDR,LAO,2457.376266
Lebanon,LBN,8523.74955
Liberia,LBR,456.0530154
Libya,LBY,7998.028819
St. Lucia,LCA,9574.302496
Latin America & Caribbean,LCN,9244.407597
Least developed countries: UN classification,LDC,1060.007789
Low income,LIC,750.4330444
Liechtenstein,LIE,
Sri Lanka,LKA,4065.224874
Lower middle income,LMC,2188.004305
Low & middle income,LMY,4654.583479
Lesotho,LSO,1181.811759
Late-demographic dividend,LTE,8977.541852
Lithuania,LTU,16680.6781
Luxembourg,LUX,104103.0367
Latvia,LVA,15594.28602
"Macao SAR, China",MAC,80892.82133
St. Martin (French part),MAF,
Morocco,MAR,3007.242877
Monaco,MCO,
Moldova,MDA,2289.877719
Madagascar,MDG,449.7223819
Maldives,MDV,10535.7947
Middle East & North Africa,MEA,7349.947863
Mexico,MEX,8902.830823
Marshall Islands,MHL,3753.256293
Middle income,MIC,5169.129266
"Macedonia, FYR",MKD,5442.609944
Mali,MLI,824.5162257
Malta,MLT,26945.98388
Myanmar,MMR,1298.881989
Middle East & North Africa (excluding high income),MNA,3768.731836
Montenegro,MNE,7669.571906
Mongolia,MNG,3735.164302
Northern Mariana Islands,MNP,
Mozambique,MOZ,415.7177167
Mauritania,MRT,1136.763975
Mauritius,MUS,10547.21683
Malawi,MWI,338.4836424
Malaysia,MYS,9944.9043
North America,NAC,58070.06614
Namibia,NAM,5227.18001
New Caledonia,NCL,
Niger,NER,378.0603077
Nigeria,NGA,1968.557681
Nicaragua,NIC,2221.806445
Netherlands,NLD,48223.15549
Norway,NOR,75504.56626
Nepal,NPL,835.0798466
Nauru,NRU,8343.827999
New Zealand,NZL,42940.57829
OECD members,OED,38148.76967
Oman,OMN,15668.36663
Other small states,OSS,13134.4241
Pakistan,PAK,1547.853414
Panama,PAN,15087.68163
Peru,PER,6571.928645
Philippines,PHL,2988.952703
Palau,PLW,13417.29026
Papua New Guinea,PNG,2555.853162
Poland,POL,13811.66424
Pre-demographic dividend,PRE,1434.179695
Puerto Rico,PRI,
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,21136.29721
Paraguay,PRY,4365.526162
West Bank and Gaza,PSE,3094.725747
Pacific island small states,PSS,4004.383909
Post-demographic dividend,PST,42521.32043
French Polynesia,PYF,
Qatar,QAT,63505.80525
Romania,ROU,10813.7166
Russian Federation,RUS,10743.09659
Rwanda,RWA,748.39326
South Asia,SAS,1840.616372
Saudi Arabia,SAU,20760.90601
Sudan,SDN,2898.549346
Senegal,SEN,1033.069906
Singapore,SGP,57714.29663
Solomon Islands,SLB,2132.115058
Sierra Leone,SLE,499.4262954
El Salvador,SLV,3889.308769
San Marino,SMR,49664.02557
Somalia,SOM,499.8168017
Serbia,SRB,5900.038108
Sub-Saharan Africa (excluding high income),SSA,1552.506512
South Sudan,SSD,
Sub-Saharan Africa,SSF,1553.766532
Small states,SST,11933.39556
Sao Tome and Principe,STP,1912.970722
Suriname,SUR,5900.556486
Slovak Republic,SVK,17604.95098
Slovenia,SVN,23597.29173
Sweden,SWE,53442.00828
Eswatini,SWZ,3224.393024
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,15504.46446
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,669.8864259
East Asia & Pacific (IDA & IBRD countries),TEA,7202.903355
Europe & Central Asia (IDA & IBRD countries),TEC,8477.829538
Togo,TGO,617.1766097
Thailand,THA,6593.819806
Tajikistan,TJK,800.9669641
Turkmenistan,TKM,7355.831345
Latin America & the Caribbean (IDA & IBRD countries),TLA,9083.073055
Timor-Leste,TLS,2279.253204
Middle East & North Africa (IDA & IBRD countries),TMN,3776.506771
Tonga,TON,3944.246001
South Asia (IDA & IBRD),TSA,1840.616372
Sub-Saharan Africa (IDA & IBRD countries),TSS,1553.766532
Trinidad and Tobago,TTO,16145.18457
Tunisia,TUN,3490.828293
Turkey,TUR,10540.618
Tuvalu,TUV,3549.974741
Tanzania,TZA,936.330768
Uganda,UGA,604.0427482
Ukraine,UKR,2639.824326
Upper middle income,UMC,8605.07597
Uruguay,URY,16245.59837
United States,USA,59531.66196
Uzbekistan,UZB,1504.226546
St. Vincent and the Grenadines,VCT,7185.179119
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,2343.124575
Vanuatu,VUT,3123.614592
World,WLD,10714.46595
Samoa,WSM,4360.75395
Kosovo,XKX,3893.969824
"Yemen, Rep.",YEM,
South Africa,ZAF,6160.734569
Zambia,ZMB,1509.797013
Zimbabwe,ZWE,1079.608291
